X,Y,NAME,City_ID,City_X,City_Y,City_Dist
-58.911550290111592,-62.199070728229231,Escudero Base,4830,-58.95266581890,-62.19496250700,1830.92436132000
-58.896704941511047,-62.196922327678088,Escudero Base,4830,-58.95266581890,-62.19496250700,1679.88105578000
-58.911550290111592,-62.199070728229231,Great Wall Station,4829,-58.96669559900,-62.21631996800,1830.92436132000
-58.896704941511047,-62.196922327678088,Great Wall Station,4829,-58.96669559900,-62.21631996800,1679.88105578000
-58.911550290111592,-62.199070728229231,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1830.92436132000
-58.896704941511047,-62.196922327678088,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1679.88105578000
-58.911550290111592,-62.199070728229231,Artigas Base,1790,-58.86386407230,-62.17388669200,1830.92436132000
-58.896704941511047,-62.196922327678088,Artigas Base,1790,-58.86386407230,-62.17388669200,1679.88105578000
-58.968493116881923,-62.225872820393164,Escudero Base,4830,-58.95266581890,-62.19496250700,1068.75549461000
-58.953548128455026,-62.227156300396885,Escudero Base,4830,-58.95266581890,-62.19496250700,1387.89365124000
-58.939014065521825,-62.226821047622849,Escudero Base,4830,-58.95266581890,-62.19496250700,1855.54708621000
-58.942186540550729,-62.215039967120759,Escudero Base,4830,-58.95266581890,-62.19496250700,1283.09883569000
-58.939133037646471,-62.205990604010708,Escudero Base,4830,-58.95266581890,-62.19496250700,1416.62674525000
-58.925007893867992,-62.201018296057072,Escudero Base,4830,-58.95266581890,-62.19496250700,1590.14672332000
-58.982791503669674,-62.187729106345891,Escudero Base,4830,-58.95266581890,-62.19496250700,1763.65087474000
-58.994146456241566,-62.197530384430415,Escudero Base,4830,-58.95266581890,-62.19496250700,2178.39985248000
-58.968493116881923,-62.225872820393164,Great Wall Station,4829,-58.96669559900,-62.21631996800,1068.75549461000
-58.953548128455026,-62.227156300396885,Great Wall Station,4829,-58.96669559900,-62.21631996800,1387.89365124000
-58.939014065521825,-62.226821047622849,Great Wall Station,4829,-58.96669559900,-62.21631996800,1855.54708621000
-58.942186540550729,-62.215039967120759,Great Wall Station,4829,-58.96669559900,-62.21631996800,1283.09883569000
-58.939133037646471,-62.205990604010708,Great Wall Station,4829,-58.96669559900,-62.21631996800,1416.62674525000
-58.925007893867992,-62.201018296057072,Great Wall Station,4829,-58.96669559900,-62.21631996800,1590.14672332000
-58.982791503669674,-62.187729106345891,Great Wall Station,4829,-58.96669559900,-62.21631996800,1763.65087474000
-58.994146456241566,-62.197530384430415,Great Wall Station,4829,-58.96669559900,-62.21631996800,2178.39985248000
-58.968493116881923,-62.225872820393164,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1068.75549461000
-58.953548128455026,-62.227156300396885,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1387.89365124000
-58.939014065521825,-62.226821047622849,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1855.54708621000
-58.942186540550729,-62.215039967120759,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1283.09883569000
-58.939133037646471,-62.205990604010708,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1416.62674525000
-58.925007893867992,-62.201018296057072,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1590.14672332000
-58.982791503669674,-62.187729106345891,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1763.65087474000
-58.994146456241566,-62.197530384430415,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,2178.39985248000
-58.890157167168859,-62.195974741846065,Escudero Base,4830,-58.95266581890,-62.19496250700,1733.31823048000
-58.875311818568306,-62.193826341294937,Escudero Base,4830,-58.95266581890,-62.19496250700,2088.51023730000
-58.860466469967761,-62.191677940743816,Escudero Base,4830,-58.95266581890,-62.19496250700,1990.68975716000
-58.845621121367202,-62.189529540192702,Escudero Base,4830,-58.95266581890,-62.19496250700,1985.50460160000
-58.890157167168859,-62.195974741846065,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1733.31823048000
-58.875311818568306,-62.193826341294937,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,2088.51023730000
-58.860466469967761,-62.191677940743816,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1990.68975716000
-58.845621121367202,-62.189529540192702,Base Presidente Montalva,4826,-58.90765232990,-62.18274357460,1985.50460160000
-58.890157167168859,-62.195974741846065,Artigas Base,1790,-58.86386407230,-62.17388669200,1733.31823048000
-58.875311818568306,-62.193826341294937,Artigas Base,1790,-58.86386407230,-62.17388669200,2088.51023730000
-58.860466469967761,-62.191677940743816,Artigas Base,1790,-58.86386407230,-62.17388669200,1990.68975716000
-58.845621121367202,-62.189529540192702,Artigas Base,1790,-58.86386407230,-62.17388669200,1985.50460160000
105.260417,-5.465833,Bandar Lampung,6484,105.26805206500,-5.42807283963,4260.54255541000
105.260417,-5.465833,Bandar Lampung,3441,105.30002193100,-5.44960406609,4260.54255541000
-80.147111,25.77,Miami,7226,-80.22605193950,25.78955655500,4682.12009314000
-80.147111,25.77,Miami Beach,699,-80.13178110520,25.80991953390,4682.12009314000
-80.147129518909395,25.76776887511366,Miami,7226,-80.22605193950,25.78955655500,4916.84300380000
-80.147129518909395,25.76776887511366,Miami Beach,699,-80.13178110520,25.80991953390,4916.84300380000
-80.147453508449559,25.78927545090631,Miami,7226,-80.22605193950,25.78955655500,2775.06265689000
-80.148306,25.78875,Miami,7226,-80.22605193950,25.78955655500,2871.70646983000
-80.147453508449559,25.78927545090631,Miami Beach,699,-80.13178110520,25.80991953390,2775.06265689000
